Training dimension 1...
Epoch  77:  Train Loss: 2.6300e-10,  Validation Loss: 2.2346e-10,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.29912
Epoch  78:  Train Loss: 1.8582e-10,  Validation Loss: 1.3839e-10,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.3
Epoch  79:  Train Loss: 1.2516e-10,  Validation Loss: 1.1311e-10,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.3
Epoch  80:  Train Loss: 8.3141e-11,  Validation Loss: 6.7886e-11,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.3
Early stopping at epoch 80 as train loss 0.000000000068 is below the threshold 0.000000000100
Traininng Stopped. Time elapsed: 32.01s
Training dimension 3...
Epoch   1:  Train Loss: 5.8589e+02,  Validation Loss: 3.6334e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 2.6692e+00,  Validation Loss: 2.0115e+00,  Epoch Time: 0.39s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 1.7317e+00,  Validation Loss: 1.5168e+00,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 1.2170e+00,  Validation Loss: 1.1502e+00,  Epoch Time: 0.52s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 9.2361e-01,  Validation Loss: 7.9541e-01,  Epoch Time: 0.46s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 9.0365e-01,  Validation Loss: 7.4624e-01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 7.6877e-01,  Validation Loss: 8.6042e-01,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 4.0583e+00,  Validation Loss: 6.1304e+01,  Epoch Time: 0.44s,  Current Pruning Threshold: 0
Epoch   9:  Train Loss: 2.6946e+01,  Validation Loss: 1.3952e+00,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
Epoch  10:  Train Loss: 5.6923e-01,  Validation Loss: 6.4544e-01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.00087931
Epoch  11:  Train Loss: 1.0033e+00,  Validation Loss: 3.3463e-01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.0035069
Epoch  12:  Train Loss: 8.4690e+00,  Validation Loss: 1.8816e+00,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.007852
Epoch  13:  Train Loss: 4.1911e+00,  Validation Loss: 2.3005e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.013864
Epoch  14:  Train Loss: 6.1939e+00,  Validation Loss: 3.8108e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.021471
Epoch  15:  Train Loss: 6.2577e+00,  Validation Loss: 5.6275e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.030586
Epoch  16:  Train Loss: 8.6703e+00,  Validation Loss: 8.5898e+00,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.041101
Epoch  17:  Train Loss: 8.8122e+00,  Validation Loss: 8.7471e+00,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.052892
Epoch  18:  Train Loss: 9.2930e+00,  Validation Loss: 9.2041e+00,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.065822
