Epoch  34:  Train Loss: 5.7982e-02,  Validation Loss: 4.3181e-02,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch  35:  Train Loss: 4.3394e-02,  Validation Loss: 3.6556e-02,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch  36:  Train Loss: 3.6527e-02,  Validation Loss: 3.0200e-02,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch  37:  Train Loss: 3.4883e-02,  Validation Loss: 4.6794e-02,  Epoch Time: 0.94s,  Current Pruning Threshold: 0
Epoch  38:  Train Loss: 1.0145e+00,  Validation Loss: 4.3845e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.0016754
Epoch  39:  Train Loss: 8.0515e-01,  Validation Loss: 6.5987e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.0066641
Epoch  40:  Train Loss: 1.3864e+00,  Validation Loss: 1.1043e+00,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.014855
Epoch  41:  Train Loss: 1.3788e+00,  Validation Loss: 1.1609e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.026064
Epoch  42:  Train Loss: 1.7081e+00,  Validation Loss: 1.4000e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.040042
Epoch  43:  Train Loss: 1.4394e+00,  Validation Loss: 1.3140e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.056477
Epoch  44:  Train Loss: 1.3301e+00,  Validation Loss: 1.1925e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.075
Epoch  45:  Train Loss: 1.0313e+00,  Validation Loss: 9.1282e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.095199
Epoch  46:  Train Loss: 1.1790e+00,  Validation Loss: 9.4436e-01,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.11662
Epoch  47:  Train Loss: 7.1940e-01,  Validation Loss: 5.6452e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.13879
Epoch  48:  Train Loss: 4.2325e-01,  Validation Loss: 3.2150e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.16121
Epoch  49:  Train Loss: 2.3382e-01,  Validation Loss: 1.6985e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.18338
Epoch  50:  Train Loss: 1.1854e-01,  Validation Loss: 8.1272e-02,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.2048
Epoch  51:  Train Loss: 5.3752e-02,  Validation Loss: 3.4188e-02,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.225
Epoch  52:  Train Loss: 2.1121e-02,  Validation Loss: 1.2199e-02,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.24352
Epoch  53:  Train Loss: 6.9659e-03,  Validation Loss: 3.5542e-03,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.25996
Epoch  54:  Train Loss: 1.8374e-03,  Validation Loss: 8.0551e-04,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.27394
Epoch  55:  Train Loss: 3.7144e-04,  Validation Loss: 1.3076e-04,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.28515
Epoch  56:  Train Loss: 5.3897e-05,  Validation Loss: 1.4781e-05,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.29334
Epoch  57:  Train Loss: 5.2583e-06,  Validation Loss: 1.0436e-06,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.29832
Epoch  58:  Train Loss: 3.1905e-07,  Validation Loss: 4.1044e-08,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.3
Epoch  59:  Train Loss: 1.1002e-08,  Validation Loss: 8.3842e-10,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.3
Epoch  60:  Train Loss: 7.7851e-10,  Validation Loss: 6.8102e-10,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.3
Early stopping at epoch 60 as train loss 0.0000000007 is below the threshold 0.0000000100
Traininng Stopped. Time elapsed: 54.92s
Training dimension 4...
Epoch   1:  Train Loss: 5.6158e+02,  Validation Loss: 3.3482e+00,  Epoch Time: 0.94s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 2.3397e+00,  Validation Loss: 2.2688e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 1.4970e+00,  Validation Loss: 1.3795e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 1.1130e+00,  Validation Loss: 1.0101e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 8.9466e-01,  Validation Loss: 7.8452e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 7.5397e-01,  Validation Loss: 6.2319e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.0316e+00,  Validation Loss: 2.3681e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 3.3902e+00,  Validation Loss: 4.7436e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.0016754
Epoch   9:  Train Loss: 8.2984e+00,  Validation Loss: 1.2020e+00,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.0066641
Epoch  10:  Train Loss: 6.8068e+00,  Validation Loss: 2.9994e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.014855
Epoch  11:  Train Loss: 1.0394e+01,  Validation Loss: 6.6982e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.026064
Epoch  12:  Train Loss: 1.0397e+01,  Validation Loss: 9.5417e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.040042
