Total Dimensions: 60
Training dimension 1...
Epoch 116:  Train Loss: 1.402e-03,  Validation Loss: 1.415e-03,  Epoch Time: 0.84s,  Current Pruning Threshold: 0.2
Epoch 117:  Train Loss: 1.400e-03,  Validation Loss: 1.435e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.2
Epoch 118:  Train Loss: 1.415e-03,  Validation Loss: 1.393e-03,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.2
Epoch 119:  Train Loss: 1.433e-03,  Validation Loss: 1.370e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.2
Epoch 120:  Train Loss: 1.432e-03,  Validation Loss: 1.458e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.2
Epoch 121:  Train Loss: 5.448e-01,  Validation Loss: 7.161e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0
Epoch 122:  Train Loss: 3.587e-03,  Validation Loss: 2.315e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0
Epoch 123:  Train Loss: 2.105e-03,  Validation Loss: 1.210e-03,  Epoch Time: 0.84s,  Current Pruning Threshold: 0
Epoch 124:  Train Loss: 9.477e-04,  Validation Loss: 7.444e-04,  Epoch Time: 0.82s,  Current Pruning Threshold: 0
Epoch 125:  Train Loss: 1.270e-03,  Validation Loss: 1.271e-03,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch 126:  Train Loss: 8.268e-04,  Validation Loss: 6.132e-04,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch 127:  Train Loss: 8.613e-04,  Validation Loss: 1.740e-03,  Epoch Time: 0.82s,  Current Pruning Threshold: 0
Epoch 128:  Train Loss: 8.076e-03,  Validation Loss: 5.305e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.0005862
Epoch 129:  Train Loss: 1.260e-03,  Validation Loss: 5.030e-04,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.0023379
Epoch 130:  Train Loss: 4.778e-04,  Validation Loss: 3.865e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0052347
Epoch 131:  Train Loss: 5.866e-04,  Validation Loss: 1.202e-03,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.0092425
