Total Dimensions: 100
Training dimension 1...
/opt/anaconda3/envs/tf/lib/python3.10/site-packages/keras/initializers/initializers_v2.py:120: UserWarning: The initializer RandomNormal is unseeded and being called multiple times, which will return identical values  each time (even if the initializer is unseeded). Please update your code to provide a seed to the initializer, or avoid using the same initalizer instance more than once.
  warnings.warn(
Epoch  26:  Train Loss: 1.283e-04,  Validation Loss: 4.683e-05,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.10018
Epoch  27:  Train Loss: 8.758e-09,  Validation Loss: 2.721e-09,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.11484
Epoch  28:  Train Loss: 2.644e-13,  Validation Loss: 3.816e-23,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.13019
Early stopping at epoch 28 as train loss 0.00000000000026 is below the threshold 0.00000000010000
Traininng Stopped. Time elapsed: 12.36s
Training dimension 7...
Epoch   1:  Train Loss: 1.639e+02,  Validation Loss: 4.205e+00,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 2.094e+00,  Validation Loss: 1.317e+00,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 8.105e-01,  Validation Loss: 6.912e-01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 4.450e-01,  Validation Loss: 4.166e-01,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 2.848e-01,  Validation Loss: 2.800e-01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 1.973e-01,  Validation Loss: 2.008e-01,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.451e-01,  Validation Loss: 1.483e-01,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 1.123e-01,  Validation Loss: 1.155e-01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch   9:  Train Loss: 9.189e-02,  Validation Loss: 9.726e-02,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch  10:  Train Loss: 7.926e-02,  Validation Loss: 8.769e-02,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch  11:  Train Loss: 7.516e-02,  Validation Loss: 8.109e-02,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch  12:  Train Loss: 9.147e-02,  Validation Loss: 1.525e-01,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch  13:  Train Loss: 1.669e-01,  Validation Loss: 1.422e-01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch  14:  Train Loss: 1.301e-01,  Validation Loss: 1.191e-01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.00063697
Epoch  15:  Train Loss: 9.830e-02,  Validation Loss: 8.049e-02,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.0025446
Epoch  16:  Train Loss: 5.881e-02,  Validation Loss: 6.201e-02,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.0057133
Epoch  17:  Train Loss: 4.744e-02,  Validation Loss: 4.295e-02,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.010127
Epoch  18:  Train Loss: 3.678e-02,  Validation Loss: 2.715e-02,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.015763
