Training dimension 1...
Epoch 900:  Train Loss: 1.4297e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 920:  Train Loss: 1.4719e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 940:  Train Loss: 1.5810e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.083247
Epoch 960:  Train Loss: 1.5097e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.09562
Epoch 980:  Train Loss: 1.5860e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
Epoch 1000:  Train Loss: 1.4875e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Traininng Stopped. Time elapsed: 74.65s
Training dimension 6...
Epoch  20:  Train Loss: 5.8464e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch  40:  Train Loss: 5.0952e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch  60:  Train Loss: 4.3243e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.0090592
Epoch  80:  Train Loss: 4.0713e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.024394
Epoch 100:  Train Loss: 4.0013e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 120:  Train Loss: 4.0040e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 140:  Train Loss: 3.8787e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.083247
Epoch 160:  Train Loss: 3.6811e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 180:  Train Loss: 3.6969e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
Epoch 200:  Train Loss: 3.8460e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 220:  Train Loss: 5.0352e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 240:  Train Loss: 4.8985e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch 260:  Train Loss: 4.1341e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.0090592
Epoch 280:  Train Loss: 3.5542e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.024394
Epoch 300:  Train Loss: 3.5115e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 320:  Train Loss: 3.7285e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 340:  Train Loss: 3.7660e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.083247
Epoch 360:  Train Loss: 3.9565e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 380:  Train Loss: 3.7340e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 400:  Train Loss: 3.7376e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 420:  Train Loss: 4.6899e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 440:  Train Loss: 4.7146e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch 460:  Train Loss: 3.8676e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.0090592
Epoch 480:  Train Loss: 3.7726e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.024394
Epoch 500:  Train Loss: 3.9018e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 520:  Train Loss: 3.6423e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 540:  Train Loss: 3.6909e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.083247
Epoch 560:  Train Loss: 3.5658e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 580:  Train Loss: 3.7448e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.1
