Epoch 133 (Period 3):  Train Loss: 9.312e-04,  Validation Loss: 8.232e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.038212
Epoch 134 (Period 3):  Train Loss: 9.105e-04,  Validation Loss: 7.353e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.038794
Epoch 135 (Period 3):  Train Loss: 8.484e-04,  Validation Loss: 1.178e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03919
Epoch 136 (Period 3):  Train Loss: 8.770e-04,  Validation Loss: 9.930e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039459
Epoch 137 (Period 3):  Train Loss: 9.805e-04,  Validation Loss: 8.149e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039639
Epoch 138 (Period 3):  Train Loss: 9.523e-04,  Validation Loss: 7.380e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.03976
Epoch 139 (Period 3):  Train Loss: 8.820e-04,  Validation Loss: 8.460e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039841
Epoch 140 (Period 3):  Train Loss: 8.771e-04,  Validation Loss: 7.492e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039895
Epoch 141 (Period 3):  Train Loss: 7.960e-04,  Validation Loss: 7.383e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03993
Epoch 142 (Period 3):  Train Loss: 7.707e-04,  Validation Loss: 8.325e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039954
Epoch 143 (Period 3):  Train Loss: 7.615e-04,  Validation Loss: 8.726e-04,  Epoch Time: 0.97s,  Current Pruning Threshold: 0.03997
Epoch 144 (Period 3):  Train Loss: 7.568e-04,  Validation Loss: 8.248e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039981
Epoch 145 (Period 3):  Train Loss: 7.377e-04,  Validation Loss: 9.303e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039988
Epoch 146 (Period 3):  Train Loss: 7.048e-04,  Validation Loss: 7.510e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039993
Epoch 147 (Period 3):  Train Loss: 7.086e-04,  Validation Loss: 6.137e-04,  Epoch Time: 0.88s,  Current Pruning Threshold: 0.039996
Epoch 148 (Period 3):  Train Loss: 6.836e-04,  Validation Loss: 6.205e-04,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.039998
Epoch 149 (Period 3):  Train Loss: 6.730e-04,  Validation Loss: 6.031e-04,  Epoch Time: 0.89s,  Current Pruning Threshold: 0.039999
Epoch 150 (Period 3):  Train Loss: 6.547e-04,  Validation Loss: 5.747e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.04
Epoch 151 (Period 4):  Train Loss: 7.592e+00,  Validation Loss: 2.727e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0
Epoch 152 (Period 4):  Train Loss: 6.892e-02,  Validation Loss: 1.926e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 9.1534e-07
Epoch 153 (Period 4):  Train Loss: 1.286e-01,  Validation Loss: 1.149e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 2.292e-06
Epoch 154 (Period 4):  Train Loss: 4.918e-02,  Validation Loss: 3.167e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 4.3623e-06
Epoch 155 (Period 4):  Train Loss: 2.528e+01,  Validation Loss: 1.998e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 7.4759e-06
Epoch 156 (Period 4):  Train Loss: 9.497e-02,  Validation Loss: 4.475e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 1.2158e-05
Epoch 157 (Period 4):  Train Loss: 2.085e-01,  Validation Loss: 4.154e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 1.9198e-05
Epoch 158 (Period 4):  Train Loss: 1.397e-01,  Validation Loss: 7.065e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 2.9781e-05
Epoch 159 (Period 4):  Train Loss: 3.793e-01,  Validation Loss: 5.320e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 4.5689e-05
Epoch 160 (Period 4):  Train Loss: 6.322e-02,  Validation Loss: 4.394e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 6.9592e-05
Epoch 161 (Period 4):  Train Loss: 4.057e+01,  Validation Loss: 4.116e+00,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00010549
Epoch 162 (Period 4):  Train Loss: 6.465e-01,  Validation Loss: 4.330e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00015936
Epoch 163 (Period 4):  Train Loss: 6.552e-01,  Validation Loss: 1.492e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.00024011
Epoch 164 (Period 4):  Train Loss: 1.701e+00,  Validation Loss: 3.121e+00,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00036094
Epoch 165 (Period 4):  Train Loss: 2.369e-01,  Validation Loss: 3.640e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00054131
Epoch 166 (Period 4):  Train Loss: 1.168e-01,  Validation Loss: 2.053e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00080952
Epoch 167 (Period 4):  Train Loss: 1.621e-01,  Validation Loss: 2.340e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.0012061
Epoch 168 (Period 4):  Train Loss: 1.859e-01,  Validation Loss: 1.111e+00,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.0017878
Epoch 169 (Period 4):  Train Loss: 9.871e+00,  Validation Loss: 1.100e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0026304
Epoch 170 (Period 4):  Train Loss: 8.095e-02,  Validation Loss: 5.506e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.0038302
Epoch 171 (Period 4):  Train Loss: 1.536e-01,  Validation Loss: 5.693e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.0054962
Epoch 172 (Period 4):  Train Loss: 4.755e-02,  Validation Loss: 9.960e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.0077317
Epoch 173 (Period 4):  Train Loss: 5.209e-02,  Validation Loss: 7.706e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.010597
Epoch 174 (Period 4):  Train Loss: 5.739e-02,  Validation Loss: 6.178e-03,  Epoch Time: 0.84s,  Current Pruning Threshold: 0.014061
Epoch 175 (Period 4):  Train Loss: 1.313e-02,  Validation Loss: 5.497e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.017966
Epoch 176 (Period 4):  Train Loss: 9.777e-03,  Validation Loss: 3.654e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.022034
Epoch 177 (Period 4):  Train Loss: 7.344e-03,  Validation Loss: 1.608e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.025939
Epoch 178 (Period 4):  Train Loss: 3.410e-03,  Validation Loss: 1.093e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.029403
Epoch 179 (Period 4):  Train Loss: 2.128e-03,  Validation Loss: 7.304e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.032268
Epoch 180 (Period 4):  Train Loss: 1.796e-03,  Validation Loss: 7.046e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.034504
Epoch 181 (Period 4):  Train Loss: 8.668e-04,  Validation Loss: 5.822e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03617
Epoch 182 (Period 4):  Train Loss: 6.738e-04,  Validation Loss: 5.869e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03737
