
Epoch 114 (Period 3):  Train Loss: 7.130e-02,  Validation Loss: 6.841e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00023852
Epoch 115 (Period 3):  Train Loss: 5.362e-02,  Validation Loss: 6.374e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00042215
Epoch 116 (Period 3):  Train Loss: 4.774e-02,  Validation Loss: 4.512e-02,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.00065585
Epoch 117 (Period 3):  Train Loss: 2.836e-02,  Validation Loss: 2.473e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00093782
Epoch 118 (Period 3):  Train Loss: 1.310e-02,  Validation Loss: 1.173e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0012659
Epoch 119 (Period 3):  Train Loss: 4.755e-03,  Validation Loss: 3.870e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0016377
Epoch 120 (Period 3):  Train Loss: 1.558e-03,  Validation Loss: 1.658e-03,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0020503
Epoch 121 (Period 3):  Train Loss: 3.620e-04,  Validation Loss: 4.465e-04,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0025005
Epoch 122 (Period 3):  Train Loss: 2.975e-05,  Validation Loss: 2.540e-05,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.002985
Epoch 123 (Period 3):  Train Loss: 5.259e-07,  Validation Loss: 1.579e-07,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0035
Epoch 124 (Period 3):  Train Loss: 7.371e-08,  Validation Loss: 2.816e-08,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0040417
Epoch 125 (Period 3):  Train Loss: 2.342e-08,  Validation Loss: 7.986e-09,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0046059
Epoch 126 (Period 3):  Train Loss: 6.319e-09,  Validation Loss: 2.365e-09,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0051883
Epoch 127 (Period 3):  Train Loss: 1.418e-09,  Validation Loss: 4.121e-10,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0057845
Epoch 128 (Period 3):  Train Loss: 3.008e-10,  Validation Loss: 1.567e-10,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0063899
Epoch 129 (Period 3):  Train Loss: 1.124e-10,  Validation Loss: 1.049e-10,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.007
Epoch 130 (Period 3):  Train Loss: 8.881e-11,  Validation Loss: 1.015e-10,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.0076101
